"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"de Rodrigo, I.; Sanchez-Cuadrado, A.; Boal, J.; López-López, A.J.","de Rodrigo, Ignacio (58848174200); Sanchez-Cuadrado, Alberto (59342774300); Boal, Jaime (55748682500); López-López, Álvaro J. (55512625200)","58848174200; 59342774300; 55748682500; 55512625200","The MERIT dataset: Modelling and efficiently rendering interpretable transcripts","2026","Pattern Recognition","172","","112502","","","0","10.1016/j.patcog.2025.112502","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017613549&doi=10.1016%2Fj.patcog.2025.112502&partnerID=40&md5=87553d4c03eff472053fda8498aeca82","This paper introduces the MERIT Dataset, a multimodal, fully labeled dataset of school grade reports. Comprising over 400 labels and 33k samples, the MERIT Dataset is a resource for training models in demanding Visually-rich Document Understanding tasks. It contains multimodal features that link patterns in the textual, visual, and layout domains. The MERIT Dataset also includes biases in a controlled way, making it a valuable tool to benchmark biases induced in Language Models. The paper outlines the dataset's generation pipeline and highlights its main features and patterns in its different domains. We benchmark the dataset for token classification, showing that it poses a significant challenge even for SOTA models. © 2025 Elsevier Ltd","Article","Final","","Scopus","2-s2.0-105017613549"
"","","","International Workshops co-located with the 19th International Conference on Document Analysis and Recognition, ICDAR 2025","2026","Lecture Notes in Computer Science","16225 LNCS","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023387746&partnerID=40&md5=d2dbb361aa4a1abc5cd53119e85dfba4","The proceedings contain 23 papers. The special focus in this conference is on Document Analysis and Recognition. The topics include: Improving Handwritten Text Recognition via 3D Attention and Multi-scale Training; masked Self-supervised Pre-training for Text Recognition Transformers on Large-Scale Datasets; text Prompt to Image Generation for Classification of Similar and Non-similar Scene Images to Improve Text Spotting Performance; Enhancing Document VQA Models via Retrieval-Augmented Generation; a New Multimodal Cross-Domain Network for Classification of Challenging Scene Images; textBite: A Historical Czech Document Dataset for Logical Page Segmentation; few-Part-Shot Font Generation; non-linear Audio-Visual Storytelling from Scanned Comics: A Character-Centric Approach; automatic Text Box Placement for Supporting Typographic Design; visual Document Matching for Zero-Shot Document Classification; evaluating Popular Scene Text Detection and Recognition Methods on Tombstones; deep Learning for Defect Detection in Answer Document Image; ResNet-TPP: A Parallel PHOC-PHOS Framework for Zero-Shot Handwritten Word Recognition in Low-Resource Scripts; Interpret, Prune and Distill Donut: Towards Lightweight VLMs for VQA on Documents; link Prediction Graph Neural Networks for Structure Recognition of Handwritten Mathematical Expressions; rule-Based Reinforcement Learning for Document Image Classification with Vision Language Models; Boosting Handwritten Mathematical Expression Recognition Through Contextual Reasoning with Vision Large Language Models (vLLMs); SCANS: An Efficient Geometric Problem Solver with Content-Aware Attention and Adaptive Fusion; GeoGRPO: Investigating the Stepwise-GRPO Enhancement in RLHF Framework; offline Handwritten Mathematical Formula Recognition Based on Primitive Representation; long Math Reasoning Problem Generation.","Conference review","Final","","Scopus","2-s2.0-105023387746"
"de Almeida Bandeira Macedo, L.; Costa, J.P.; Felix de Almeida, J.P.; Garcia Freitas, P.; Li, L.","de Almeida Bandeira Macedo, Lucas (60112467400); Costa, João Paulo Vieira (57224310790); Felix de Almeida, João Pedro (60112510000); Garcia Freitas, Pedro Garcia (55431728000); Li, Weigang (52163887600)","60112467400; 57224310790; 60112510000; 55431728000; 52163887600","Visual Document Matching for Zero-Shot Document Classification","2026","Lecture Notes in Computer Science","16225 LNCS","","","192","208","0","10.1007/978-3-032-09368-4_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023375581&doi=10.1007%2F978-3-032-09368-4_12&partnerID=40&md5=d7f98d23712611121010f6435541d993","Accurate document identification is crucial for ensuring compliance and maintaining consistency across various applications. Consequently, document classification has been extensively studied. However, the dynamic nature of documents often renders simple classification insufficient, necessitating frequent model retraining. To mitigate this constant maintenance, comparing incoming documents against known references is a more suitable approach. To address the zero-shot classification problem, we introduce Visual Document Matching (VDM). VDM focuses on verifying whether two documents share an identical visual layout structure, a particularly effective approach in scenarios where training classes do not align with those encountered during inference. Despite its significant potential, the Zero-Shot Learning (ZSL) approach remains largely underexplored in document layout understanding. To support our study, we introduce Layout-Aware Complex Document Information Processing (LA-CDIP), a dataset comprising 4,993 documents across 144 classes. We reorganized this dataset from the RVL-CDIP database to emphasize visual structure over semantic information. Our approach is benchmarked using a siamese network within a contrastive learning framework across multiple backbone architectures, including ResNet, EfficientNet, and Vision Transformer (ViT). In zero-shot scenarios, our method achieves an Equal Error Rate (EER) below 5% in 1-vs-1 verification with cross-validation. Furthermore, our VDM approach outperforms lighter Large Language Models (LLMs) and rivals GPT-4o. These findings highlight the superiority of specialized VDM techniques over general-purpose multimodal models, demonstrating high accuracy with significantly fewer parameters, making our approach more practical for real-world applications. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.","Conference paper","Final","","Scopus","2-s2.0-105023375581"
"Pal, A.; Biswas, S.; Das, A.; Lodh, A.; Banerjee, P.; Chattopadhyay, S.; Mondal, A.; Karatzas, D.; Llados, J.; Jawahar, C.V.","Pal, Aniket (57467826800); Biswas, Sanket (57226196113); Das, Alloy (57560089800); Lodh, Ayush (59802348000); Banerjee, Priyanka (59512809300); Chattopadhyay, Soumitri (57289784800); Mondal, Ajoy (54899188400); Karatzas, Dimosthenis (16030882900); Llados, Josep (6603062543); Jawahar, C. V. (6701503911)","57467826800; 57226196113; 57560089800; 59802348000; 59512809300; 57289784800; 54899188400; 16030882900; 6603062543; 6701503911","ICDAR 2025 Handwritten Notes Understanding Challenge","2026","Lecture Notes in Computer Science","16027 LNCS","","","553","567","0","10.1007/978-3-032-04630-7_32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016906018&doi=10.1007%2F978-3-032-04630-7_32&partnerID=40&md5=311e01600685ffa995fcaea34836bab4","This report presents the results of the inaugural ICDAR 2025 Handwritten Notes Understanding Competition, centered on evidence-based question answering over complex scientific handwritten notes. The final competition test set included over 2,000 real academic note images and 1,000 curated questions across diverse STEM domains, characterized by varied layouts, diagrams, and dense equations. The overall challenge was structured as a single task with a multi-phase evaluation protocol designed to assess not only answer correctness but also grounded reasoning ability, requiring models to localize the exact visual evidence supporting their answers. Hosted on the Robust Reading Challenge (RRC) Portal, the competition ensured fair, private-set benchmarking, with 6 valid submissions out of 16 registered teams. The results underscore the obstacles that current state-of-the-art (SOTA) vision-language models (VLMs) face in multimodal reasoning over handwritten content. This first edition marks a promising step toward interpretable, layout-aware document understanding and sets the foundation for future iterations. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.","Conference paper","Final","","Scopus","2-s2.0-105016906018"
"Vaiani, L.; Ding, Y.; Cagliero, L.; Lee, J.; Garza, P.; Poon, J.; Han, S.C.","Vaiani, Lorenzo (57698759400); Ding, Yihao (57748659500); Cagliero, Luca (35190145000); Lee, Jean (57224911298); Garza, Paolo (36909944300); Poon, Josiah (7005903715); Han, Soyeon Caren (55361191400)","57698759400; 57748659500; 35190145000; 57224911298; 36909944300; 7005903715; 55361191400","KIEPrompter: Leveraging Lightweight Models' Predictions for Cost-Effective Key Information Extraction using Vision LLMs","2025","","","","","2925","2934","0","10.1145/3746252.3761416","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023191912&doi=10.1145%2F3746252.3761416&partnerID=40&md5=4ae170ff9b9a5c8b50ecf9937bafee6f","Key information extraction (KIE) from visually rich documents, such as receipts and forms, involves a deep understanding of textual, visual, and layout feature information. Transformers fine-tuned for KIE achieve state-of-the-art performance but lack generality and portability across different domains. In contrast, vision large language models (VLLMs) offer higher flexibility and zero-shot capability but fall short with domain-specific layout relations unless performing a resource-demanding supervised fine-tuning. To reach the best compromise solution between lightweight models and VLLMs, we propose KIEPrompter, a cost-effective LLM-based KIE approach that leverages the predictions of lightweight models as external knowledge injected into VLLM prompts. By incorporating these auxiliary predictions, VLLMs are guided to attend relevant multimodal content without ad hoc training. The accuracy results achieved by KIEPrompter in three benchmark document collections are superior to those of VLLMs in both zero-shot and layout-sensitive scenarios. We compare various strategies for incorporating lightweight model predictions, ranging from coarse-grained predictions without explicit confidence scores to fine-grained per-element network logits. We also demonstrate that our approach is robust to the absence of specific classes in trained lightweight models, as the VLLMs' pre-training compensates for the limited generality of lightweight models. © 2025 Copyright held by the owner/author(s).","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105023191912"
"Vafaie, M.; Hertling, S.; Banse-Strobel, I.; Dubout, K.; Sack, H.","Vafaie, Mahsa (57312115600); Hertling, Sven (55583440200); Banse-Strobel, Inger (60215079600); Dubout, Kevin (60214384400); Sack, Harald (7102918498)","57312115600; 55583440200; 60215079600; 60214384400; 7102918498","End-to-end Information Extraction from Archival Records with Multimodal Large Language Models","2025","","","","","6075","6083","0","10.1145/3746252.3761503","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023170599&doi=10.1145%2F3746252.3761503&partnerID=40&md5=b620d0f820abb327462b236d9447de1e","Semi-structured Document Understanding presents a challenging research task due to the significant variations in layout, style, font, and content of documents. This complexity is further amplified when dealing with born-analogue historical documents, such as digitised archival records, which contain degraded print, handwritten annotations, stamps, marginalia and inconsistent formatting resulting from historical production and digitisation processes. Traditional approaches for extracting information from semi-structured documents rely on manual labour, making them costly and inefficient. This is partly due to the fact that within document collections, there are various layout types, each requiring customised optimisation to account for structural differences, which substantially increases the effort needed to achieve consistent quality. The emergence of Multimodal Large Language Models (MLLMs) has significantly advanced Document Understanding by enabling flexible, prompt-based understanding of document images, needless of OCR outputs or layout encodings. Moreover, the encoder-decoder architectures have overcome the limitations of encoder-only models, such as reliance on annotated datasets and fixed input lengths. However, there still remains a gap in effectively applying these models in real-world scenarios. To address this gap, we first introduce BZKOpen, a new annotated dataset designed for key information extraction from historical German index cards. Furthermore, we systematically assess the capabilities of several state-of-the-art MLLMs-including the open-source InternVL2.0 and InternVL2.5 series, and the commercial GPT-4o-mini-on the task of extracting key information from these archival documents. Both zero-shot and few-shot prompting strategies are evaluated across different model configurations to identify the optimal conditions for performance. Interestingly, our results reveal that increasing model size does not necessarily lead to better performance on this dataset. Among all models tested, the open-source InternVL2.5-38B consistently achieves the most robust results, outperforming both larger InternVL models and the proprietary alternative. We further provide practical insights into prompt engineering and inference settings, offering guidance for applying MLLMs to real-world key information extraction tasks. Additionally, we highlight the need for more ground truth datasets that include a wider range of historical documents with varying quality and in multiple languages, in order to fully explore the potentials and limitations of MLLMs for key information extraction from historical records. © 2025 Copyright held by the owner/author(s).","Conference paper","Final","","Scopus","2-s2.0-105023170599"
"Chen, L.; Xiao, Z.; Wang, J.; Huang, Z.; Zeng, Y.; Xu, J.","Chen, Longfeng (60114309800); Xiao, Zheng (60227571200); Wang, Juyuan (59536658100); Huang, Zeyu (60113965100); Zeng, Yawen (57224734965); Xu, Jin (57189710200)","60114309800; 60227571200; 59536658100; 60113965100; 57224734965; 57189710200","HEAR: A Holistic Extraction and Agentic Reasoning Framework for Document Understanding","2025","","","","","14376","14382","0","10.1145/3746027.3761999","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024062547&doi=10.1145%2F3746027.3761999&partnerID=40&md5=468fcc45bfa094dee6091a29f9fce1e1","The automated comprehension of complex, multi-modal documents is fundamentally hampered by a disconnect between information extraction and reasoning. Existing systems suffer from inherent limitations. Monolithic models embed reasoning as a black box process, sacrificing transparency and depth. Meanwhile, current agent-based frameworks follow a passive, non-interactive paradigm; they handle static, global inputs rather than information derived from active exploration, which fundamentally restricts their ability to achieve structural understanding and complex reasoning. To bridge this critical gap, we introduce HEAR, a framework for Holistic Extraction and Agentic Reasoning. This innovative framework establishes a synergistic, closed-loop between a deep Vision-Language Model (VLM) driven holistic parsing engine and a collaborative multi-agent reasoning system. Our HEAR initially transforms unstructured documents into a semantically-rich, structured representation, preserving complex layouts and reconstituting multi-page tables. Subsequently, a multi-agent system performs cross-modal analysis, governed by a crucial verification protocol that forces agents to validate findings across textual and visual modalities. A conflict driven re-evaluation mechanism enables the system to dynamically re-engage the document to resolve ambiguities, thereby unifying the perception-cognition cycle. HEAR achieved first place in the ACM MM 2025 Grand Challenge on Large Vision-Language Model Learning and Applications. © 2025 ACM.","Conference paper","Final","","Scopus","2-s2.0-105024062547"
"Yang, Z.; Hua, W.; Song, S.; Yao, C.; Zhu, Y.; Cheng, W.; Bai, X.","Yang, Zhibo (57205359678); Hua, Wei (58151467400); Song, Sibo (57701931900); Yao, Cong (55336187500); Zhu, Yingying (58736581000); Cheng, Wenqing (59672387200); Bai, Xiang (15130916600)","57205359678; 58151467400; 57701931900; 55336187500; 58736581000; 59672387200; 15130916600","Generative compositor for few-shot visual information extraction","2025","Pattern Recognition","165","","111624","","","0","10.1016/j.patcog.2025.111624","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001947462&doi=10.1016%2Fj.patcog.2025.111624&partnerID=40&md5=034ddd85313da82104a1736fe178f8ee","Visual Information Extraction (VIE), aiming at extracting structured information from visually rich document images, plays a pivotal role in document processing. Considering various layouts, semantic scopes, and languages, VIE encompasses an extensive range of types, potentially numbering in the thousands. However, many of these types suffer from a lack of training data, which poses significant challenges. In this paper, we propose a novel generative model, named Generative Compositor, to address the challenge of few-shot VIE. The Generative Compositor is a hybrid pointer-generator network that emulates the operations of a compositor by retrieving words from the source text and assembling them based on the provided prompts. Furthermore, three pre-training strategies are employed to enhance the model's perception of spatial context information. Besides, a prompt-aware resampler is specially designed to enable efficient matching by leveraging the entity-semantic prior contained in prompts. The introduction of the prompt-based retrieval mechanism and the pre-training strategies enable the model to acquire more effective spatial and semantic clues with limited training samples. Experiments demonstrate that the proposed method achieves highly competitive results in the full-sample training, while notably outperforms the baseline in the 1-shot, 5-shot, and 10-shot settings. © 2025","Article","Final","","Scopus","2-s2.0-105001947462"
"Zhao, R.; Ou Yang, J.J.; Gao, C.; Qin, X.; Zeng, G.; Hu, X.; Zhang, P.","Zhao, Runbo (58175204900); Ou Yang, Junjie (59475812000); Gao, Chen (59162250100); Qin, Xugong (57215089190); Zeng, Gangyan (57215816277); Hu, Xiaoxu (59309764900); Zhang, Peng (59876105100)","58175204900; 59475812000; 59162250100; 57215089190; 57215816277; 59309764900; 59876105100","Perception-Enhanced Generative Transformer for Key Information Extraction from Documents","2025","Lecture Notes in Computer Science","15331 LNCS","","","91","106","0","10.1007/978-3-031-78119-3_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212271826&doi=10.1007%2F978-3-031-78119-3_7&partnerID=40&md5=d1318a47b7d45a7d7b765f4e9422d8af","Key information extraction (KIE) from scanned documents has attracted significant attention due to practical real-world applications. Despite impressive results achieved by incorporating multimodal information within the generative framework, existing methods fail to understand complex layouts and fuzzy semantics in document images. To settle these issues, we propose a perception-enhanced generative transformer (PEGT), which improves the model through fine-grained multimodal modeling and pre-training tasks tailored for the generative framework. Firstly, we introduce a pre-trained vision-language model to provide transferable knowledge for visual text perceptron. Then two auxiliary pre-training tasks including absolute position prediction (APP) and semantic relationship reasoning (SRR) are designed for the generative framework. APP learns to predict which grids the texts fall into, improving the model on utilization of the position information. SRR exploits prior information of semantic relationships, injecting the ability for better semantic discrimination into PEGT. Finally, well-designed prompts are leveraged to unleash the potential of PEGT for extracting key information from documents. Extensive experiments on several public datasets show that PEGT effectively generalizes over different types of documents. Especially, PEGT achieves state-of-the-art results in terms of F-measure, i.e., 97.47%, 98.04%, and 84.32% on the SROIE, CORD, and FUNSD datasets, demonstrating the superiority of the proposed method. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Conference paper","Final","","Scopus","2-s2.0-85212271826"
"Scius-Bertrand, A.; Jungo, M.; Vogtlin, L.; Spat, J.-M.; Fischer, A.","Scius-Bertrand, Anna (56039895600); Jungo, Michael (57219809919); Vogtlin, Lars (57210751102); Spat, Jean Marc (59476360800); Fischer, Andreas (57192656275)","56039895600; 57219809919; 57210751102; 59476360800; 57192656275","Zero-Shot Prompting and Few-Shot Fine-Tuning: Revisiting Document Image Classification Using Large Language Models","2025","Lecture Notes in Computer Science","15319 LNCS","","","152","166","5","10.1007/978-3-031-78495-8_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212257751&doi=10.1007%2F978-3-031-78495-8_10&partnerID=40&md5=795b9e8ba095fe441d263d2b4726a5f8","Classifying scanned documents is a challenging problem that involves image, layout, and text analysis for document understanding. Nevertheless, for certain benchmark datasets, notably RVL-CDIP, the state of the art is closing in to near-perfect performance when considering hundreds of thousands of training samples. With the advent of large language models (LLMs), which are excellent few-shot learners, the question arises to what extent the document classification problem can be addressed with only a few training samples, or even none at all. In this paper, we investigate this question in the context of zero-shot prompting and few-shot model fine-tuning, with the aim of reducing the need for human-annotated training samples as much as possible. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Conference paper","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85212257751"
"Long, R.; Xing, H.; Yang, Z.; Zheng, Q.; Yu, Z.; Huang, F.; Yao, C.","Long, Rujiao (57208776553); Xing, Hangdi (57837223800); Yang, Zhibo (57205359678); Zheng, Qi (57205367369); Yu, Zhi (56589267500); Huang, Fei (57210150087); Yao, Cong (55336187500)","57208776553; 57837223800; 57205359678; 57205367369; 56589267500; 57210150087; 55336187500","LORE++: Logical location regression network for table structure recognition with pre-training","2025","Pattern Recognition","157","","110816","","","10","10.1016/j.patcog.2024.110816","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201309450&doi=10.1016%2Fj.patcog.2024.110816&partnerID=40&md5=12c10be18ad8bc2ddf85a3ff41562e49","Table structure recognition (TSR) aims at extracting tables in images into machine-understandable formats. Current approaches address this issue by either predicting the adjacency of detected cells or direct generation of structural sequences. Nonetheless, these approaches either count on additional heuristic rules for post-processing, or involve the generation of extremely long-range sequences that lead to computational intricacy. In this paper, We redefine TSR as a LOgical location REgression paradigm, which effectively captures inherent logical dependencies and constraints among table cells. Correspondingly, we propose LORE, a novel approach for TSR. LORE simultaneously predicts accurate geometric coordinates of table cells and the logical structures of the entire table. Our proposed LORE is conceptually simpler, easier to train, and more accurate than other TSR paradigms. Moreover, to enhance the model's spatial and logical representation capabilities, we propose two pre-training tasks, resulting in an upgraded version named LORE++. The incorporation of pre-training is proven to enjoy significant advantages, leading to a substantial enhancement in terms of accuracy, generalization, and few-shot capability compared to its predecessor. Experiments on standard benchmarks demonstrate the superiority of LORE++, which highlights the potential and promising prospect of the logical location regression paradigm for TSR. © 2024 Elsevier Ltd","Article","Final","","Scopus","2-s2.0-85201309450"
"L.; Costa, J.P.; J.P.F.; Garcia Freitas, P.; Li, L.","; Costa, Joaõ Paulo Carvalho Lustosa Da (57188933911); Garcia Freitas, Pedro Garcia (55431728000); Li, Weigang (52163887600)","60244822700; 57188933911; 60244615200; 55431728000; 52163887600","Towards Zero-Shot Document Image Classification","2025","Brazilian Symposium of Computer Graphic and Image Processing","","","","","","0","10.1109/SIBGRAPI67909.2025.11223349","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025139683&doi=10.1109%2FSIBGRAPI67909.2025.11223349&partnerID=40&md5=1739bb190490afe6f5c948d5d575a275","Classification is a fundamental tool to automate the process of categorizing documents in many real-world applications, such as information management, financial document processing, healthcare records management, news categorization, fraud detection, regulatory compliance, and many others. Because of this broad spectrum of applications, document classification is of paramount importance for various companies. However, documents often change in terms of format and their visual patterns, which may impair a simple classification model. Moreover, model continuance and retraining often demands important efforts, consuming computational resources and demanding new data. Therefore, techniques capable of classifying documents by simply observing new data, without necessarily requiring retraining the classifier, are of immense importance for a wide variety of applications. In this context, Zero-Shot Learning (ZSL) is especially suitable for document classification because it handles diverse and ever-changing document content. In this work, we tackle the gap involving Zero-Shot Document Image Classification (ZS-DIC), where we classify documents that have not been seen by the model during training. To achieve this, we built Layout-Aware Complex Document Information Processing (LA-CDIP), a dataset tailored for this problem. LAC-DIP prioritizes structural consistency, allowing models to classify documents correctly under a ZSL scenario. To benchmark this dataset, we developed a series of Siamese Neural Networks (NNs) based on a variety of computer vision neural architectures, such as ResNet, EfficientNet, ViT and others. As a result, the proposed ZSL-based method achieves Equal Error Rates (EERs) under 5%. The code of the proposed method is available at https://github.com/ABMHub/doc-zsl. © 2025 IEEE.","Conference paper","Final","","Scopus","2-s2.0-105025139683"
"Wang, K.; Toibazar, D.; Alfulayt, A.; Albadawi, A.S.; Alkahtani, R.A.; Ibrahim, A.A.; Alhomoud, H.A.; Mohamed, S.; Moreno, P.J.","Wang, Kesen (60089147800); Toibazar, Daulet (59897473600); Alfulayt, Abdulrahman (60089470600); Albadawi, Abdulaziz S. (60089039000); Alkahtani, Ranya (59717495300); Ibrahim, Asma A. (59716747700); Alhomoud, Haneen (59332897900); Mohamed, Sherif (60089470700); Moreno, Pedro J. (60088930000)","60089147800; 59897473600; 60089470600; 60089039000; 59717495300; 59716747700; 59332897900; 60089470700; 60088930000","Multi-Agent Interactive Question Generation Framework for Long Document Understanding","2025","IEEE International Workshop on Machine Learning for Signal Processing, MLSP","","","","","","0","10.1109/MLSP62443.2025.11204232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022086088&doi=10.1109%2FMLSP62443.2025.11204232&partnerID=40&md5=459b23c9510f613ffb77185ab2bdffd3","Document Understanding (DU) in long-contextual scenarios with complex layouts remains a significant challenge in vision-language research. Although Large Vision-Language Models (LVLMs) excel at short-context DU tasks, their performance declines in long-context settings. A key limitation is the scarcity of fine-grained training data, particularly for low-resource languages such as Arabic. Existing state-of-the-art techniques rely heavily on human annotation, which is costly and inefficient. We propose a fully automated, multi-agent interactive framework to generate long-context questions efficiently. Our approach efficiently generates high-quality single- and multi-page questions for extensive English and Arabic documents, covering hundreds of pages across diverse domains. This facilitates the development of LVLMs with enhanced long-context understanding ability. Experimental results in this work have shown that our generated English and Arabic questions (AraEngLongBench) are quite challenging to major open- and close-source LVLMs. The code and data proposed in this work can be found in https://github.com/ wangk0b/Multi_Agentic_QA_Long_Doc.git. Sample Question and Answer (QA) pairs and structured system prompts can be found in the Appendix. © 2025 IEEE.","Conference paper","Final","","Scopus","2-s2.0-105022086088"
